customer_id,company_id,full_name,email,phone,segment,city,country,created_at
1,1,Customer 1,customer1@example.com,+1-555-1001,SME,Toronto,Canada,2025-05-14 00:00:00
2,1,Customer 2,customer2@example.com,+1-555-1002,Retail,Montreal,Canada,2025-08-10 00:00:00
3,1,Customer 3,customer3@example.com,+1-555-1003,SME,Calgary,Canada,2025-08-18 00:00:00
4,1,Customer 4,customer4@example.com,+1-555-1004,Retail,Toronto,Canada,2025-09-16 00:00:00
5,1,Customer 5,customer5@example.com,+1-555-1005,Retail,Montreal,Canada,2025-01-16 00:00:00
6,1,Customer 6,customer6@example.com,+1-555-1006,SME,Calgary,Canada,2025-06-22 00:00:00
7,1,Customer 7,customer7@example.com,+1-555-1007,SME,Halifax,Canada,2024-12-26 00:00:00
8,1,Customer 8,customer8@example.com,+1-555-1008,Retail,Vancouver,Canada,2024-12-04 00:00:00
9,1,Customer 9,customer9@example.com,+1-555-1009,Retail,Toronto,Canada,2025-07-12 00:00:00
10,1,Customer 10,customer10@example.com,+1-555-1010,SME,Ottawa,Canada,2025-05-12 00:00:00
11,1,Customer 11,customer11@example.com,+1-555-1011,Retail,Ottawa,Canada,2025-08-10 00:00:00
12,1,Customer 12,customer12@example.com,+1-555-1012,Retail,Toronto,Canada,2025-04-01 00:00:00
13,1,Customer 13,customer13@example.com,+1-555-1013,SME,Calgary,Canada,2025-05-19 00:00:00
14,1,Customer 14,customer14@example.com,+1-555-1014,SME,Halifax,Canada,2025-02-08 00:00:00
15,1,Customer 15,customer15@example.com,+1-555-1015,Retail,Vancouver,Canada,2025-08-22 00:00:00
16,1,Customer 16,customer16@example.com,+1-555-1016,Retail,Halifax,Canada,2024-11-19 00:00:00
17,1,Customer 17,customer17@example.com,+1-555-1017,SME,Ottawa,Canada,2024-12-10 00:00:00
18,1,Customer 18,customer18@example.com,+1-555-1018,Retail,Toronto,Canada,2025-09-08 00:00:00
19,1,Customer 19,customer19@example.com,+1-555-1019,SME,Ottawa,Canada,2025-08-22 00:00:00
20,1,Customer 20,customer20@example.com,+1-555-1020,SME,Toronto,Canada,2025-03-21 00:00:00
21,1,Customer 21,customer21@example.com,+1-555-1021,Retail,Halifax,Canada,2025-03-29 00:00:00
22,1,Customer 22,customer22@example.com,+1-555-1022,Retail,Ottawa,Canada,2025-06-16 00:00:00
23,1,Customer 23,customer23@example.com,+1-555-1023,SME,Halifax,Canada,2024-10-17 00:00:00
24,1,Customer 24,customer24@example.com,+1-555-1024,SME,Calgary,Canada,2024-11-10 00:00:00
25,1,Customer 25,customer25@example.com,+1-555-1025,Retail,Halifax,Canada,2025-05-29 00:00:00
26,1,Customer 26,customer26@example.com,+1-555-1026,Retail,Vancouver,Canada,2025-05-16 00:00:00
27,1,Customer 27,customer27@example.com,+1-555-1027,Corporate,Halifax,Canada,2024-10-14 00:00:00
28,1,Customer 28,customer28@example.com,+1-555-1028,Retail,Halifax,Canada,2025-04-18 00:00:00
29,1,Customer 29,customer29@example.com,+1-555-1029,SME,Toronto,Canada,2025-06-06 00:00:00
30,1,Customer 30,customer30@example.com,+1-555-1030,SME,Ottawa,Canada,2025-03-10 00:00:00
31,1,Customer 31,customer31@example.com,+1-555-1031,Retail,Montreal,Canada,2024-12-15 00:00:00
32,1,Customer 32,customer32@example.com,+1-555-1032,SME,Ottawa,Canada,2025-06-15 00:00:00
